idx,block,feePpm,sumSq
434,7426045349358816311,1055,330847185
435,7426045349358816311,1055,330848949
436,7426045349358816311,1055,330848949
437,7426045349358816311,1155,330963193
438,7426045349358816311,1055,330972797
439,7426045349358816311,1055,330981446
440,7426045349358816311,1055,330981447
441,7426045349358816311,1155,331078168
442,7426045349358816311,1055,331116193
443,7426045349358816311,1055,331118402
444,7426045349358816311,1055,331118402
445,7426045349358816311,1455,331466502
446,7426045349358816311,1055,331466502
447,7426045349358816311,1055,331466502
448,7426045349358816311,1055,331497127
449,7426045349358816311,1055,331504523
450,7426045349358816311,1055,331504523
451,7426045349358816311,1055,331505484
452,7426045349358816311,1055,331519173
453,7426045349358816311,1055,331519342
454,7426045349358816311,1055,331520942
455,7426045349358816311,1055,331520942
456,7426045349358816311,1055,331524542
457,7426045349358816311,1055,331525503
458,7426045349358816311,1055,331547112
459,7426045349358816311,1055,331560108
460,7426045349358816311,1055,331560108
461,7426045349358816311,1055,331560108
462,7426045349358816311,1055,331560109
463,7426045349358816311,1055,331560109
464,7426045349358816311,1155,331611185
465,7426045349358816311,1055,331642869
466,7426045349358816311,1055,331642869
467,7426045349358816311,1055,331642869
468,7426045349358816311,1055,331642869
469,7426045349358816311,1155,331721830
470,7426045349358816311,1955,332446031
471,7426045349358816311,1155,332543375
472,7426045349358816311,1055,332543375
473,7426045349358816311,1155,332612019
474,7426045349358816311,1055,332629975
475,7426045349358816311,1055,332632000
476,7426045349358816311,1955,333040321
477,7426045349358816311,1955,333538757
478,7426045349358816311,1055,333545813
479,7426045349358816311,1055,333548622
480,7426045349358816311,1055,333559647
481,7426045349358816311,1055,333560736
482,7426045349358816311,1055,333561825
483,7426045349358816311,1055,333561850
484,7426045349358816311,1055,333562250
485,7426045349358816311,1055,333567726
486,7426045349358816311,1055,333575647
487,7426045349358816311,1055,333576547
488,7426045349358816311,1055,333587996
489,7426045349358816311,1055,333600540
490,7426045349358816311,1155,333666589
491,7426045349358816311,1055,333666710
492,7426045349358816311,1055,333666854
493,7426045349358816311,1055,333666854
494,7426045349358816311,1055,333666854
495,7426045349358816311,1055,333666855
496,7426045349358816311,1055,333666855
497,7426045349358816311,1055,333666855
498,7426045349358816311,1055,333666855
499,7426045349358816311,1055,333667944
500,7426045349358816311,1055,333668233
501,7426045349358816311,1055,333683117
502,7426045349358816311,1055,333696573
503,7426045349358816311,1055,333696742
504,7426045349358816311,1055,333716623
505,7426045349358816311,1055,333737359
506,7426045349358816311,1055,333738880
507,7426045349358816311,1055,333747344
508,7426045349358816311,1055,333747344
509,7426045349358816311,1155,333887220
510,7426045349358816311,1055,333887220
511,7426045349358816311,1055,333887220
512,7426045349358816311,1055,333887416
513,7426045349358816311,1055,333893192
514,7426045349358816311,1055,333893516
515,7426045349358816311,1055,333913116
516,7426045349358816311,1055,333913116
517,7426045349358816311,1055,333914341
518,7426045349358816311,1055,333950062
519,7426045349358816311,1055,333950183
520,7426045349358816311,1055,333954672
521,7426045349358816311,1155,334026496
522,7426045349358816311,1055,334026497
523,7426045349358816311,1455,334275498
524,7426045349358816311,1055,334287162
525,7426045349358816311,1055,334287163
526,7426045349358816311,1055,334298612
527,7426045349358816311,1055,334328888
528,7426045349358816311,1055,334348769
529,7426045349358816311,1055,334348769
530,7426045349358816311,1055,334348769
531,7426045349358816311,1055,334348769
532,7426045349358816311,1055,334348769
533,7426045349358816311,1055,334350369
534,7426045349358816311,1155,334418490
535,7426045349358816311,1055,334432414
536,7426045349358816311,1155,334489535
537,7426045349358816311,1055,334489535
